monitoring_time,data_mm_jugy,data_mm_iqr,data_mm_range,1H_wmedian_jugy,1H_wmedian_mask,1H_wmedian_range,1H_wmedian_iqr,1H_sum_mima,1H_sum_max
2024/6/13 21:07,-0.177233362,0.001915667,0.018352,0.957705995,1,0.019482667,0.000741333,1,0.662708336
2024/6/13 22:07,-0.17628887,0.001915667,0.018352,0.277751163,1,0.019482667,0.000741333,0.37392755,0.662708336
2024/6/13 23:07,-0.177015402,0.001915667,0.018352,0.189912401,1,0.019482667,0.000741333,0.470209724,0.662708336
2024/6/14 0:07,-0.177887242,0.001915667,0.018352,0.139645497,1,0.019482667,0.000741333,0.254051478,0.662708336
2024/6/14 1:07,-0.177451322,0.001915667,0.018352,0.072611552,1,0.019482667,0.000741333,0.650381316,0.662708336
2024/6/14 2:04,-0.155800639,0.001915667,0.018352,0.053038598,1,0.019482667,0.000741333,0.72950429,0.662708336
2024/6/14 2:34,-0.156672479,0.001915667,0.018352,0.053038598,1,0.019482667,0.000741333,0.973784557,0.662708336
2024/6/14 3:07,-0.155582679,0.001915667,0.018352,0.036784834,1,0.019482667,0.000741333,0.843898951,0.662708336
2024/6/14 4:07,-0.156672479,0.001915667,0.018352,0.036545305,1,0.019482667,0.000741333,0.37821735,0.662708336
2024/6/14 5:07,-0.156454519,0.001915667,0.018352,0.035929373,1,0.019482667,0.000741333,0.111773117,0.662708336
2024/6/14 6:07,-0.157181052,0.001915667,0.018352,0.035724062,1,0.019482667,0.000741333,0.133222116,0.662708336
2024/6/14 7:07,-0.156454519,0.001915667,0.018352,0.035724062,1,0.019482667,0.000741333,0.11534795,0.662708336
2024/6/14 8:07,-0.155582679,0.001915667,0.018352,0.036339995,1,0.019482667,0.000741333,0.160152526,0.662708336
2024/6/14 9:07,-0.157181052,0.001915667,0.018352,0.035724062,1,0.019482667,0.000741333,0.002859867,0.662708336
2024/6/14 10:07,-0.156454519,0.001915667,0.018352,0.036545305,1,0.019482667,0.000741333,0,0.662708336
2024/6/14 11:07,-0.156672479,0.001915667,0.018352,0.035724062,1,0.019482667,0.000741333,0,0.662708336
2024/6/14 12:07,-0.156672479,0.001915667,0.018352,0.036339995,1,0.019482667,0.000741333,0,0.662708336
2024/6/14 13:07,-0.156672479,0.001915667,0.018352,0.035724062,1,0.019482667,0.000741333,0,0.662708336
2024/6/14 14:07,-0.156454519,0.001915667,0.018352,0.035039693,1,0.019482667,0.000741333,0,0.662708336
